timestamp	url	publisher	title	tier	score	status	target_graphs	reason
2026-03-08T00:00:00Z	https://www.reveliolabs.com/news/macro/the-wage-divide-is-widening-again-and-ai-may-be-to-blame/	Revelio Labs	The Wage Divide is Widening Again and AI May Be to Blame	2	70	ingested	median-wage-impact;entry-level-wage-impact;high-skill-wage-premium	New publisher; fresh (Dec 2025); specific quartile wage growth data
2026-03-08T00:00:00Z	https://epjdatascience.springeropen.com/articles/10.1140/epjds/s13688-025-00547-9	EPJ Data Science	AI and the economic divide: How AI could widen the divide in the U.S.	1	85	ingested	overall-us-displacement	Peer-reviewed; US MSA-level analysis; new publisher
2026-03-08T00:00:00Z	https://www.imf.org/en/publications/wp/issues/2025/04/04/ai-adoption-and-inequality-565729	IMF	AI Adoption and Inequality (WP/25/68)	2	50	review	median-wage-impact;high-skill-wage-premium	Wage Gini +2.05pp; wealth Gini +6.89pp; 60% top-decile exposed. Score below 60 threshold (existing publisher).
2026-03-08T00:00:00Z	https://www.shrm.org/topics-tools/research/automation-generative-ai-and-job-displacement-risk-in-u-s--employment	SHRM	Automation, Generative AI, and Job Displacement Risk in U.S. Employment	2	75	ingested	education-sector-displacement	New publisher; n=20,262 survey; education lowest automation of any sector at 7.3%
2026-03-08T00:00:00Z	https://www.brookings.edu/articles/measuring-us-workers-capacity-to-adapt-to-ai-driven-job-displacement/	Brookings Metro / GovAI	Measuring US workers capacity to adapt to AI-driven job displacement	2	80	ingested	healthcare-admin-displacement	New publisher (Brookings); fresh (Jan 2026); 831K medical secretaries high-exposure/low-adaptability
2026-03-08T00:00:00Z	https://bloomberry.com/blog/i-analyzed-180m-jobs-to-see-what-jobs-ai-is-actually-replacing-today/	Bloomberry/Revealera	I analyzed 180M jobs to see what jobs AI is actually replacing today	2	55	ingested	creative-industry-displacement	Existing publisher; corroborates Indeed 33% decline with independent 180M posting dataset.
2026-03-08T00:00:00Z	https://www.mckinsey.com/mgi/our-research/agents-robots-and-us-skill-partnerships-in-the-age-of-ai	McKinsey Global Institute	Agents, robots, and us: Skill partnerships in the age of AI	2	60	ingested	white-collar-professional-displacement;overall-us-displacement	Nov 2025; AI+robots could automate 57% of US work hours; 40% of jobs in highly automatable roles.
2026-03-08T00:00:00Z	https://fortune.com/2025/09/02/salesforce-ceo-billionaire-marc-benioff-ai-agents-jobs-layoffs-customer-service-sales/	Fortune	Salesforce CEO says company cut 4,000 CS jobs as AI steps in	1	75	ingested	customer-service-automation	CEO disclosure: 50% interactions by AI, 9K to 5K heads, -17% support costs. New publisher for CS graph.
2026-03-08T00:00:00Z	https://www.educause.edu/research/2026/the-impact-of-ai-on-work-in-higher-education	EDUCAUSE	The Impact of AI on Work in Higher Education	2	80	ingested	education-sector-displacement	n=1,960 survey; 94% use AI, 67% flag job loss risk. Overlay only (no displacement %). New publisher.
2026-03-08T00:00:00Z	https://www.mercer.com/insights/people-strategy/future-of-work/global-talent-trends/	Mercer	Global Talent Trends 2026	2	60	review	overall-us-displacement	65% expect 11-30% redeployed; employee job loss concern 28% to 40%. General workforce, no sector breakdown.
